Gmt time,Open,High,Low,Close,Volume
01.10.2019 00:00:00.000,1.08992,1.09008,1.08856,1.08879,14630.8802
01.10.2019 04:00:00.000,1.08876,1.0894,1.0879,1.08875,35080.2207
01.10.2019 08:00:00.000,1.08879,1.09078,1.08851,1.0898,51504.4697
01.10.2019 12:00:00.000,1.0898,1.09345,1.08845,1.09314,70567.0186
01.10.2019 16:00:00.000,1.09312,1.09428,1.09251,1.09368,32821.8297
01.10.2019 20:00:00.000,1.0937,1.09373,1.09277,1.09339,9907.8502
02.10.2019 00:00:00.000,1.0934,1.09413,1.09327,1.09363,16653.4999
02.10.2019 04:00:00.000,1.09362,1.09369,1.09167,1.09198,29680.5498
02.10.2019 08:00:00.000,1.09197,1.09349,1.0904,1.09289,52078.8604
02.10.2019 12:00:00.000,1.09289,1.09583,1.09155,1.09497,63949.6494
02.10.2019 16:00:00.000,1.09496,1.09636,1.09457,1.09613,30288.3501
02.10.2019 20:00:00.000,1.09613,1.09635,1.09573,1.09605,7930.2099
03.10.2019 00:00:00.000,1.09604,1.09649,1.09552,1.09565,16662.7801
03.10.2019 04:00:00.000,1.09566,1.09589,1.09408,1.09445,31674.0801
03.10.2019 08:00:00.000,1.09444,1.09737,1.09409,1.09564,53149.8701
03.10.2019 12:00:00.000,1.09565,1.09992,1.09479,1.09902,80297.3203
03.10.2019 16:00:00.000,1.09902,1.09903,1.09653,1.09703,30984.4097
03.10.2019 20:00:00.000,1.09702,1.0976,1.09625,1.09744,7157.9474
04.10.2019 00:00:00.000,1.09745,1.09838,1.0974,1.09775,14746.0798
04.10.2019 04:00:00.000,1.09775,1.09781,1.09642,1.09717,29110.5804
04.10.2019 08:00:00.000,1.09717,1.09898,1.09682,1.09814,37249.0704
04.10.2019 12:00:00.000,1.09813,1.0999,1.0957,1.0973,72488.748
04.10.2019 16:00:00.000,1.0973,1.09857,1.09721,1.09826,27554.3501
04.10.2019 20:00:00.000,1.09825,1.09828,1.09755,1.0976,3048.03
05.10.2019 00:00:00.000,1.0976,1.0976,1.0976,1.0976,0
05.10.2019 04:00:00.000,1.0976,1.0976,1.0976,1.0976,0
05.10.2019 08:00:00.000,1.0976,1.0976,1.0976,1.0976,0
05.10.2019 12:00:00.000,1.0976,1.0976,1.0976,1.0976,0
05.10.2019 16:00:00.000,1.0976,1.0976,1.0976,1.0976,0
05.10.2019 20:00:00.000,1.0976,1.0976,1.0976,1.0976,0
06.10.2019 00:00:00.000,1.0976,1.0976,1.0976,1.0976,0
06.10.2019 04:00:00.000,1.0976,1.0976,1.0976,1.0976,0
06.10.2019 08:00:00.000,1.0976,1.0976,1.0976,1.0976,0
06.10.2019 12:00:00.000,1.0976,1.0976,1.0976,1.0976,0
06.10.2019 16:00:00.000,1.0976,1.0976,1.0976,1.0976,0
06.10.2019 20:00:00.000,1.09803,1.09838,1.09728,1.09832,4584.7001
07.10.2019 00:00:00.000,1.09832,1.09899,1.09777,1.09799,14493.9301
07.10.2019 04:00:00.000,1.09799,1.09838,1.09636,1.09725,25022.0801
07.10.2019 08:00:00.000,1.09725,1.099,1.09619,1.09869,39319.039
07.10.2019 12:00:00.000,1.09869,1.10004,1.09836,1.09837,51700.4892
07.10.2019 16:00:00.000,1.09837,1.09847,1.0969,1.09738,29871.9903
07.10.2019 20:00:00.000,1.09737,1.09738,1.09682,1.09715,7128.6799
08.10.2019 00:00:00.000,1.09716,1.09783,1.09648,1.09751,17951.4999
08.10.2019 04:00:00.000,1.09751,1.09851,1.09735,1.09792,28962.7497
08.10.2019 08:00:00.000,1.09792,1.09958,1.09791,1.09878,57421.7988
08.10.2019 12:00:00.000,1.09879,1.09926,1.09449,1.09487,64751.7499
08.10.2019 16:00:00.000,1.09488,1.09622,1.09409,1.09561,41248.1596
08.10.2019 20:00:00.000,1.09559,1.09612,1.09507,1.09597,6819.5698
09.10.2019 00:00:00.000,1.09597,1.09656,1.09548,1.09633,11296.15
09.10.2019 04:00:00.000,1.09633,1.09837,1.09557,1.09782,32065.5693
09.10.2019 08:00:00.000,1.09782,1.099,1.09734,1.09787,55920.0411
09.10.2019 12:00:00.000,1.09787,1.09837,1.09715,1.09777,48065.4199
09.10.2019 16:00:00.000,1.09777,1.09819,1.09701,1.09761,25217.27
09.10.2019 20:00:00.000,1.09759,1.09896,1.09678,1.09842,12888.6051
10.10.2019 00:00:00.000,1.09841,1.09932,1.09797,1.09887,27107.9803
10.10.2019 04:00:00.000,1.09886,1.10194,1.09831,1.10163,35234.2796
10.10.2019 08:00:00.000,1.1016,1.10337,1.10121,1.1024,51250.8799
10.10.2019 12:00:00.000,1.10238,1.10331,1.1002,1.10174,74131.3301
10.10.2019 16:00:00.000,1.10174,1.10235,1.10028,1.10091,34473.1899
10.10.2019 20:00:00.000,1.10086,1.10111,1.10041,1.10106,7883.8699
11.10.2019 00:00:00.000,1.10105,1.10178,1.10046,1.10152,17714.3295
11.10.2019 04:00:00.000,1.10152,1.10227,1.10089,1.10111,30650.0898
11.10.2019 08:00:00.000,1.10111,1.10624,1.10007,1.10541,77167.5606
11.10.2019 12:00:00.000,1.10542,1.10626,1.10255,1.10389,78948.8613
